Date,Maine,New Hampshire,Vermont,Massachusetts,Connecticut,Rhode Island,,,,,,,,,
6/23/23,0.092356688,0.098726115,0.038216561,0.461783439,0.238853503,0.070063694,,,,,,,,,
6/24/23,0.09148265,0.097791798,0.044164038,0.466876972,0.233438486,0.066246057,,,,,,,,,
6/25/23,0.08797654,0.099706745,0.038123167,0.472140762,0.234604106,0.06744868,,,,,,,,,
6/26/23,0.081967213,0.095628415,0.038251366,0.475409836,0.240437158,0.068306011,,,,,,,,,
6/27/23,0.084269663,0.095505618,0.039325843,0.474719101,0.238764045,0.06741573,,,,,,,,,
6/28/23,0.087078652,0.095505618,0.039325843,0.469101124,0.241573034,0.06741573,,,,,,,,,
6/29/23,0.088319088,0.0997151,0.037037037,0.472934473,0.233618234,0.068376068,,,,,,,,,
6/30/23,0.085714286,0.097142857,0.034285714,0.474285714,0.237142857,0.071428571,,,,,,,,,
7/1/23,0.089230769,0.095384615,0.036923077,0.464615385,0.24,0.073846154,,,,,,,,,
7/2/23,0.09148265,0.09148265,0.041009464,0.454258675,0.249211356,0.072555205,,,,,,,,,
7/3/23,0.085959885,0.088825215,0.037249284,0.446991404,0.263610315,0.077363897,,,,,,,,,
7/4/23,0.090361446,0.096385542,0.036144578,0.451807229,0.253012048,0.072289157,,,,,,,,,
7/5/23,0.087179487,0.097435897,0.033333333,0.458974359,0.251282051,0.071794872,,,,,,,,,
7/6/23,0.085648148,0.097222222,0.034722222,0.467592593,0.24537037,0.069444444,,,,,,,,,
7/7/23,0.085714286,0.1,0.038095238,0.466666667,0.24047619,0.069047619,,,,,,,,,
7/8/23,0.084398977,0.097186701,0.033248082,0.468030691,0.245524297,0.071611253,,,,,,,,,
7/9/23,0.086720867,0.094850949,0.037940379,0.466124661,0.241192412,0.073170732,,,,,,,,,
7/10/23,0.089189189,0.094594595,0.040540541,0.456756757,0.251351351,0.067567568,,,,,,,,,
7/11/23,0.08707124,0.09762533,0.034300792,0.46701847,0.242744063,0.071240106,,,,,,,,,
7/12/23,0.083932854,0.095923261,0.033573141,0.472422062,0.242206235,0.071942446,,,,,,,,,
7/13/23,0.085510689,0.095011876,0.033254157,0.470308789,0.244655582,0.071258907,,,,,,,,,
7/14/23,0.090673575,0.095854922,0.033678756,0.468911917,0.240932642,0.069948187,,,,,,,,,
7/15/23,0.083123426,0.095717884,0.035264484,0.468513854,0.246851385,0.070528967,,,,,,,,,
7/16/23,0.08616188,0.093994778,0.039164491,0.46997389,0.240208877,0.070496084,,,,,,,,,
7/17/23,0.085308057,0.097156398,0.033175355,0.469194313,0.244075829,0.071090047,,,,,,,,,
7/18/23,0.086746988,0.096385542,0.036144578,0.472289157,0.236144578,0.072289157,,,,,,,,,
7/19/23,0.090909091,0.095959596,0.032828283,0.477272727,0.22979798,0.073232323,,,,,,,,,
7/20/23,0.088311688,0.096103896,0.033766234,0.467532468,0.241558442,0.072727273,,,,,,,,,
7/21/23,0.086720867,0.092140921,0.037940379,0.463414634,0.246612466,0.073170732,,,,,,,,,
7/22/23,0.091988131,0.09495549,0.035608309,0.462908012,0.237388724,0.077151335,,,,,,,,,
7/23/23,0.093023256,0.095930233,0.031976744,0.468023256,0.235465116,0.075581395,,,,,,,,,
7/24/23,0.089514066,0.094629156,0.033248082,0.470588235,0.240409207,0.071611253,,,,,,,,,
7/25/23,0.091139241,0.096202532,0.035443038,0.463291139,0.240506329,0.073417722,,,,,,,,,
7/26/23,0.0925,0.1,0.035,0.465,0.235,0.0725,,,,,,,,,
7/27/23,0.086448598,0.093457944,0.037383178,0.46728972,0.242990654,0.072429907,,,,,,,,,
7/28/23,0.085057471,0.096551724,0.032183908,0.468965517,0.243678161,0.073563218,,,,,,,,,
7/29/23,0.086206897,0.091133005,0.034482759,0.467980296,0.246305419,0.073891626,,,,,,,,,
7/30/23,0.09602649,0.09602649,0.033112583,0.463576159,0.238410596,0.072847682,,,,,,,,,
7/31/23,0.093373494,0.09939759,0.036144578,0.463855422,0.234939759,0.072289157,,,,,,,,,
8/1/23,0.090342679,0.099688474,0.034267913,0.46105919,0.239875389,0.074766355,,,,,,,,,
8/2/23,0.094462541,0.100977199,0.035830619,0.462540717,0.234527687,0.071661238,,,,,,,,,
8/3/23,0.090342679,0.102803738,0.037383178,0.464174455,0.23364486,0.07165109,,,,,,,,,
8/4/23,0.088757396,0.097633136,0.038461538,0.467455621,0.236686391,0.071005917,,,,,,,,,
8/5/23,0.088414634,0.091463415,0.030487805,0.472560976,0.240853659,0.076219512,,,,,,,,,
8/6/23,0.091194969,0.094339623,0.031446541,0.465408805,0.242138365,0.075471698,,,,,,,,,
8/7/23,0.087719298,0.093567251,0.038011696,0.464912281,0.245614035,0.070175439,,,,,,,,,
8/8/23,0.08310992,0.09383378,0.037533512,0.474530831,0.238605898,0.072386059,,,,,,,,,
8/9/23,0.088642659,0.096952909,0.033240997,0.470914127,0.238227147,0.072022161,,,,,,,,,
8/10/23,0.089385475,0.097765363,0.036312849,0.472067039,0.231843575,0.072625698,,,,,,,,,
8/11/23,0.089855072,0.095652174,0.031884058,0.469565217,0.237681159,0.075362319,,,,,,,,,
8/12/23,0.089506173,0.095679012,0.033950617,0.469135802,0.237654321,0.074074074,,,,,,,,,
8/13/23,0.086350975,0.094707521,0.033426184,0.47632312,0.236768802,0.072423398,,,,,,,,,
8/14/23,0.087431694,0.095628415,0.032786885,0.472677596,0.240437158,0.071038251,,,,,,,,,
8/15/23,0.091168091,0.094017094,0.037037037,0.467236467,0.239316239,0.071225071,,,,,,,,,
8/16/23,0.094117647,0.097058824,0.041176471,0.458823529,0.241176471,0.067647059,,,,,,,,,
8/17/23,0.093841642,0.096774194,0.041055718,0.457478006,0.240469208,0.070381232,,,,,,,,,
8/18/23,0.091428571,0.094285714,0.037142857,0.465714286,0.24,0.071428571,,,,,,,,,
8/19/23,0.096885813,0.096885813,0.041522491,0.456747405,0.235294118,0.07266436,,,,,,,,,
8/20/23,0.096989967,0.096989967,0.033444816,0.464882943,0.234113712,0.073578595,,,,,,,,,
8/21/23,0.089918256,0.095367847,0.035422343,0.463215259,0.242506812,0.073569482,,,,,,,,,
8/22/23,0.094224924,0.097264438,0.03343465,0.462006079,0.240121581,0.072948328,,,,,,,,,
8/23/23,0.097402597,0.097402597,0.035714286,0.461038961,0.237012987,0.071428571,,,,,,,,,
8/24/23,0.096463023,0.099678457,0.038585209,0.463022508,0.234726688,0.067524116,,,,,,,,,
8/25/23,0.091743119,0.094801223,0.042813456,0.4617737,0.241590214,0.067278287,,,,,,,,,
8/26/23,0.089285714,0.095238095,0.035714286,0.467261905,0.241071429,0.071428571,,,,,,,,,
8/27/23,0.092063492,0.095238095,0.034920635,0.463492063,0.244444444,0.06984127,,,,,,,,,
8/28/23,0.090361446,0.096385542,0.036144578,0.460843373,0.25,0.06626506,,,,,,,,,
8/29/23,0.090116279,0.098837209,0.037790698,0.462209302,0.244186047,0.066860465,,,,,,,,,
8/30/23,0.08913649,0.094707521,0.036211699,0.465181058,0.245125348,0.069637883,,,,,,,,,
8/31/23,0.095709571,0.099009901,0.0330033,0.462046205,0.240924092,0.069306931,,,,,,,,,
9/1/23,0.098591549,0.098591549,0.035211268,0.464788732,0.235915493,0.066901408,,,,,,,,,
9/2/23,0.098181818,0.098181818,0.036363636,0.465454545,0.232727273,0.069090909,,,,,,,,,
9/3/23,0.091772152,0.098101266,0.034810127,0.462025316,0.243670886,0.069620253,,,,,,,,,
9/4/23,0.086834734,0.095238095,0.036414566,0.462184874,0.24929972,0.070028011,,,,,,,,,
9/5/23,0.08716707,0.0968523,0.036319613,0.460048426,0.249394673,0.070217918,,,,,,,,,
9/6/23,0.085450346,0.096997691,0.034642032,0.464203233,0.249422633,0.069284065,,,,,,,,,
9/7/23,0.082039911,0.095343681,0.035476718,0.474501109,0.241685144,0.070953437,,,,,,,,,
9/8/23,0.086330935,0.091127098,0.035971223,0.474820144,0.237410072,0.074340528,,,,,,,,,
9/9/23,0.087765957,0.093085106,0.034574468,0.468085106,0.239361702,0.07712766,,,,,,,,,
9/10/23,0.089595376,0.092485549,0.037572254,0.468208092,0.23699422,0.075144509,,,,,,,,,
9/11/23,0.08815427,0.093663912,0.035812672,0.465564738,0.245179063,0.071625344,,,,,,,,,
9/12/23,0.08719346,0.095367847,0.035422343,0.471389646,0.239782016,0.070844687,,,,,,,,,
9/13/23,0.08988764,0.095505618,0.039325843,0.471910112,0.233146067,0.070224719,,,,,,,,,
9/14/23,0.093167702,0.096273292,0.037267081,0.47515528,0.226708075,0.071428571,,,,,,,,,
9/15/23,0.098939929,0.098939929,0.038869258,0.469964664,0.22614841,0.067137809,,,,,,,,,
9/16/23,0.098113208,0.098113208,0.041509434,0.467924528,0.226415094,0.067924528,,,,,,,,,
9/17/23,0.098859316,0.098859316,0.041825095,0.463878327,0.228136882,0.068441065,,,,,,,,,
9/18/23,0.096774194,0.096774194,0.04516129,0.464516129,0.229032258,0.067741935,,,,,,,,,
9/19/23,0.098976109,0.098976109,0.044368601,0.464163823,0.225255973,0.068259386,,,,,,,,,
9/20/23,0.101754386,0.101754386,0.038596491,0.466666667,0.224561404,0.066666667,,,,,,,,,
9/21/23,0.1,0.1,0.039285714,0.467857143,0.225,0.067857143,,,,,,,,,
9/22/23,0.098181818,0.098181818,0.04,0.465454545,0.229090909,0.069090909,,,,,,,,,
9/23/23,0.102272727,0.09469697,0.041666667,0.465909091,0.227272727,0.068181818,,,,,,,,,
9/24/23,0.101503759,0.097744361,0.045112782,0.462406015,0.22556391,0.067669173,,,,,,,,,
9/25/23,0.097902098,0.097902098,0.041958042,0.465034965,0.230769231,0.066433566,,,,,,,,,
9/26/23,0.098181818,0.098181818,0.04,0.465454545,0.232727273,0.065454545,,,,,,,,,
9/27/23,0.100746269,0.100746269,0.041044776,0.462686567,0.22761194,0.067164179,,,,,,,,,
9/28/23,0.102189781,0.098540146,0.04379562,0.459854015,0.229927007,0.065693431,,,,,,,,,
